# Depth-by-depth breadth search statistics.
# frontier_positions are exact unique nonterminal positions before that halfmove.
# unique_nonterminal_after is exact when available; at the last proof layer it is intentionally skipped to avoid storing the huge next frontier.
halfmove	frontier_positions	legal_edges	avg_legal_moves	min_legal_moves	max_legal_moves	nonterminal_edges	terminal_edges	p1_terminal_edges	p2_terminal_edges	draw_terminal_edges	unique_nonterminal_after	max_p1_kazan_after	max_p2_kazan_after	max_mover_gain	min_p1_side_after	max_p1_side_after	min_p2_side_after	max_p2_side_after	tuzdyk_none	tuzdyk_only_p1	tuzdyk_only_p2	tuzdyk_both	legal_move_1	legal_move_2	legal_move_3	legal_move_4	legal_move_5	legal_move_6	legal_move_7	legal_move_8	legal_move_9	elapsed_seconds
1	1	9	9.000000	9	9	9	0	0	0	0	9	10	0	10	73	81	72	81	9	0	0	0	1	1	1	1	1	1	1	1	1	0.000053
2	9	73	8.111111	8	9	73	0	0	0	0	73	10	10	10	64	89	64	81	73	0	0	0	8	8	8	8	8	8	8	8	9	0.000081
3	73	613	8.397260	8	9	613	0	0	0	0	613	22	10	12	56	89	58	90	613	0	0	0	64	65	66	67	68	69	70	71	73	0.000198
4	613	5199	8.481240	8	9	5199	0	0	0	0	5199	22	22	12	50	97	50	90	4934	0	265	0	598	587	572	563	560	563	572	586	598	0.001264
5	5199	43184	8.306213	7	9	43184	0	0	0	0	42841	36	22	14	43	97	44	98	38675	2389	2080	40	4987	4838	4793	4764	4776	4799	4803	4758	4666	0.011223
6	42841	357277	8.339605	6	9	357277	0	0	0	0	350462	36	36	15	38	104	37	98	304840	18087	33259	1091	41032	39492	39872	39634	39405	39383	39472	39323	39664	0.104619
7	350462	2924670	8.345184	5	9	2924670	0	0	0	0	2846239	52	36	16	31	104	25	106	2371318	288414	245150	19788	333755	332077	320666	322810	321924	321964	321725	320671	329078	0.956991
8	2846239	23876487	8.388785	5	9	23876487	0	0	0	0	23068632	52	52	17	20	111	17	106	18502155	2116316	3012001	246015	2753323	2693013	2632598	2635191	2628497	2620771	2620192	2613554	2679348	8.773552
9	23068632	193199319	8.374979	4	9	193199319	0	0	0	0	185464053	70	52	18	13	111	11	113	144048551	24509770	21789072	2851926	22011389	22201072	21486494	21165472	21225270	21199009	21158884	21119813	21631916	86.881835
10	185464053	1559006339	8.405976	4	9	1559006339	0	0	0	0	not_materialized	70	70	19	7	117	9	113	1121297406	176681476	232233978	28793479	176667174	177769314	173615436	171520029	171615457	171261827	170883746	170479807	175193549	177.015209
# proven_terminal_edges_zero_through_halfmove	10
# saved_shortest_candidate_halfmove	11
# see	shortest_terminal_game.txt	shortest_candidate_replay.tsv
